date,name,value
29.01.2017,Доска обрезная,6500.00
05.02.2017,Доска обрезная,6500.00
12.02.2017,Доска обрезная,6500.00
19.02.2017,Доска обрезная,6500.00
26.02.2017,Доска обрезная,6500.00
05.03.2017,Доска обрезная,6525.00
12.03.2017,Доска обрезная,6500.00
19.03.2017,Доска обрезная,6500.00
26.03.2017,Доска обрезная,6725.00
02.04.2017,Доска обрезная,6947.35
09.04.2017,Доска обрезная,6900.00
16.04.2017,Доска обрезная,6947.35
29.01.2017,Доска необрезная,6400.00
23.04.2017,Доска обрезная,6994.71
30.04.2017,Доска обрезная,6994.71
05.02.2017,Доска необрезная,6400.00
12.02.2017,Доска необрезная,6400.00
19.02.2017,Доска необрезная,6400.00
26.02.2017,Доска необрезная,6400.00
05.03.2017,Доска необрезная,6400.00
12.03.2017,Доска необрезная,6400.00
19.03.2017,Доска необрезная,6400.00
26.03.2017,Доска необрезная,6400.00
02.04.2017,Доска необрезная,6400.00
09.04.2017,Доска необрезная,6400.00
16.04.2017,Доска необрезная,7700.00
29.01.2017,Горбыль,500.00
29.01.2017,Доска столярная,11000.00
23.04.2017,Доска необрезная,10000.00
30.04.2017,Доска необрезная,10000.00
05.02.2017,Горбыль,500.00
12.02.2017,Горбыль,500.00
19.02.2017,Горбыль,500.00
26.02.2017,Горбыль,500.00
05.03.2017,Горбыль,500.00
12.03.2017,Горбыль,500.00
19.03.2017,Горбыль,500.00
26.03.2017,Горбыль,500.00
02.04.2017,Горбыль,500.00
09.04.2017,Горбыль,500.00
16.04.2017,Горбыль,500.00
05.02.2017,Доска столярная,10250.00
12.02.2017,Доска столярная,10250.00
19.02.2017,Доска столярная,10250.00
26.02.2017,Доска столярная,9500.00
05.03.2017,Доска столярная,9500.00
12.03.2017,Доска столярная,9500.00
19.03.2017,Доска столярная,9500.00
26.03.2017,Доска столярная,9500.00
02.04.2017,Доска столярная,9500.00
09.04.2017,Доска столярная,9500.00
16.04.2017,Доска столярная,9500.00
29.01.2017,Доска половая,595.00
29.01.2017,Доска террасная,1600.00
23.04.2017,Горбыль,500.00
30.04.2017,Горбыль,500.00
23.04.2017,Доска столярная,9500.00
30.04.2017,Доска столярная,9500.00
05.02.2017,Доска половая,600.00
12.02.2017,Доска половая,600.00
19.02.2017,Доска половая,600.00
